"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Abiotrophia",0.270594274341405,1.43137297189653,2.70493354354798,0.529171215799645,0.596686682406594,NA
"Abiotrophia defectiva",1.24314663790678,-0.0370212756880061,1.18125219580017,-0.0313407042286412,0.974997829059253,NA
"Abiotrophia sp.",2.44785022170778,0.403288506465833,0.968275871686266,0.416501658523723,0.677042954008411,0.79482401578042
"Acaricomes phytoseiuli",2.285569082276,1.81157175641846,1.20394688640088,1.50469408317009,0.132402744985043,0.260544491112639
"Acaryochloris marina",23.5251511801623,1.51891375995114,0.507767812829031,2.9913549492011,0.00277742451351686,0.0143715237469283
"Acaryochloris sp.",1.99991406232419,-1.0012408221484,1.24876043685285,-0.801787750957061,0.422675745359308,0.581425565769979
"Acetivibrio cellulolyticus",207.056900568502,-0.633223441209001,0.23225610798075,-2.72640167233615,0.00640290267254635,0.0278198908146858
"Acetivibrio ethanolgignens",15227.6823359557,4.51026270712814,0.484832731691861,9.30271908703283,1.36899035669556e-20,9.03173374798884e-19
"Acetoanaerobium",40.129807400354,-1.7252747199584,0.55559129963826,-3.10529470328586,0.00190089526700473,0.0107184154180169
"Acetoanaerobium noterae",58.1069577517762,0.170846894345842,0.252836942926481,0.675719664889004,0.499218648181223,0.654400601825007
"Acetoanaerobium sticklandii",8.06597732855934,-1.07007206043331,0.582337107203164,-1.83754743978557,0.0661291198798419,0.160645061568569
"Acetobacter aceti",1.56005766398592,-0.785810945263721,1.08166366631027,-0.726483628635001,0.467542340172729,0.623001598633642
"Acetobacter malorum",10.5287818250132,-1.74449386099348,0.851068811287962,-2.04976828883373,NA,NA
"Acetobacter nitrogenifigens",1.39498357293661,-1.69992864142609,1.6738829322856,-1.01556005419383,0.309838935143902,NA
"Acetobacter okinawensis",0.0397749491586554,0.063606854362957,3.11653965008542,0.0204094481394497,0.983716746895707,NA
"Acetobacter papayae",0.83045659921043,0.558964150788943,1.31774797503557,0.424181377151313,0.671433541242329,NA
"Acetobacter sp.",2.25794856597306,-2.66230012549526,1.05125467664929,-2.53249777112138,0.0113253089818381,0.0432813256363843
"Acetobacterium",1.0867665930581,0.235537735683186,1.39868929633439,0.168398897668318,0.866269475254548,NA
"Acetobacterium bakii",73.1214887736236,0.117292590407288,0.277619597373064,0.422493914396362,0.672664541727325,0.791332140402536
"Acetobacterium dehalogenans",71.7886769262949,0.233918418563516,0.254665635631061,0.918531540322931,0.358340654337757,0.523214921621874
"Acetobacterium wieringae",102.984305265156,0.232345953937201,0.303503877718562,0.765545256567216,0.443946928284274,0.60065988566205
"Acetobacterium woodii",100.186543198537,0.141133642277618,0.351072259533252,0.402007388636327,0.687678588617289,0.80279870624612
"Acetohalobium arabaticum",11.1595128800199,-1.1122733907275,0.652748675427476,-1.70398414060218,0.0883840501639232,0.196193297116285
"Acetomicrobium",0.694638294644651,-1.99439406268289,1.54059699064637,-1.29455923566755,0.195472322434895,NA
"Acetomicrobium flavidum",12.2832880655066,2.36580433492656,0.625993647805331,3.77927850102126,0.000157283432176557,0.00132541030072816
"Acetomicrobium hydrogeniformans",7.10745132505028,-1.26336476045491,0.585231125748156,-2.15874498957968,0.0308699563619745,0.0921827201986788
"Acetomicrobium mobile",1.66099466438362,0.937369763850129,1.3849186167257,0.676841045047331,0.498506812891824,0.653638378619144
"Acetonema longum",18.556394441011,0.684527633106581,0.384595551987627,1.77986362444619,0.0750982820226249,0.175380158978474
"Acholeplasma axanthum",59.3259824096236,-1.11518152700996,0.480469583903013,-2.32102419044088,0.020285538309293,0.068125712714531
"Acholeplasma brassicae",86.9854056516449,-0.94731617389786,0.411707612324343,-2.30094403295017,0.0213947947587761,0.0711362738199624
"Acholeplasma equifetale",50.2165463082906,-0.416251390339535,0.502046598064974,-0.829109074623516,0.407042689253281,0.567550624003324
"Acholeplasma granularum",43.1969659180188,-0.631273329143793,0.557262368504934,-1.13281169664735,0.257293338458917,0.41871755892016
"Acholeplasma hippikon",328.550174006542,3.73396789754461,0.643526604956126,5.80235202210355,6.53910961219176e-09,1.25141586242479e-07
"Acholeplasma laidlawii",39.8813236527166,-1.11033269226588,0.391016528465344,-2.83960551903957,0.004516935341656,0.0211070958090057
"Acholeplasma modicum",48.3279103438279,-0.181776918847815,0.45467780367741,-0.399792814554863,0.68930912352765,0.804327657753698
"Acholeplasma oculi",40.4479412735254,-0.266121082481774,0.388678506136116,-0.68468175698035,0.493544763355299,0.648805281116297
