"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"misc1",1626.67819997296,1.29686658852444,0.125572775554621,10.3276094901664,5.28615337492471e-25,1.09218369507174e-23
"(2E,6E)-farnesyl diphosphate synthase2",18.1996442398132,-4.28005022348026,0.735971139778358,-5.81551366914907,6.04479732294132e-09,2.2450028519097e-08
"(2Fe-2S)-binding protein3",18.9212119661738,2.33511403760167,0.500028677516011,4.66996022948483,3.01258053052508e-06,7.93670562276454e-06
"(4Fe-4S)-binding protein4",111.43956083495,6.55768902039815,0.398996953129882,16.4354363334285,1.06654278905275e-60,2.90789754544676e-58
"(deoxy)nucleoside triphosphate pyrophosphohydrolase5",29.4607964897752,-0.834114293275782,0.34262006974605,-2.43451673421825,0.0149116903297473,0.0224158977335282
"(Fe-S)-binding protein6",50.9518370643339,-0.258392172255309,0.302583784365048,-0.85395247731972,0.393131321202931,0.427804900714255
"(p)ppGpp synthetase7",38.6313540533041,-1.26442159601152,0.365582189282683,-3.45865207080376,0.000542885705823605,0.00103337792463754
"(R)-hydratase8",0.0772598653717042,1.63672333916597,3.11653965008542,0.525173276432119,0.599462740440974,NA
"(S)-ureidoglycine aminohydrolase9",20.5683169629226,2.9880488728701,0.465439560677645,6.41984292980968,1.36415022870687e-10,6.19481023192978e-10
"1-(5-phosphoribosyl)-510",115.70217849786,-0.573820100740033,0.260638430332134,-2.20159436967453,0.0276939740021987,0.039577051233358
"1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase11",1.48681848041608,1.06950560778575,1.25714237282276,0.850743424855139,0.394911895099836,0.429473635332647
"1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate carboxylase12",30.185320105558,3.22421950273822,0.565542312863245,5.70111100337399,1.19029092081005e-08,4.24929274810367e-08
"1-acyl-sn-glycerol-3-phosphate acyltransferase13",354.133954526209,0.627147765433515,0.1690376989922,3.71010590638988,0.000207172563023705,0.000418407333165521
"1-acyl-sn-glycerol-3-phosphate acyltransferase, partial14",0.648185000598195,3.40959933789722,2.24640969590699,1.51779942194409,0.129064970882278,0.158383939645052
"1-aminocyclopropane-1-carboxylate deaminase15",2.52741588663102,5.400148286005,1.22602080577426,4.40461390261211,1.05972449249746e-05,2.58290430642895e-05
"1-deoxy-D-xylulose-5-phosphate reductoisomerase16",511.178551836386,-0.0928960546477325,0.240205089485363,-0.38673641281607,0.698951356162919,0.724913747105645
"1-deoxy-D-xylulose-5-phosphate reductoisomerase, partial17",2.29330939457299,4.21149493874927,1.28351786790682,3.28121255188871,0.00103361820096908,0.00187458733330834
"1-deoxy-D-xylulose-5-phosphate synthase18",696.7727004786,0.88457406085632,0.14841151610011,5.96027912186839,2.51807451123173e-09,9.82155009219558e-09
"1-phosphofructokinase19",184.722764962297,1.34817597362463,0.311654381743429,4.32586882328683,1.51931821392349e-05,3.62867051951324e-05
"1-pyrroline-5-carboxylate dehydrogenase20",33.1353410729639,5.08236963822934,0.688895844621729,7.37755885437232,1.61218112159444e-13,1.01943512941204e-12
"1,3-beta-galactosyl-N-acetylhexosamine phosphorylase21",629.758605197663,8.65198580245425,0.568392392620867,15.2218536257317,2.53252598035116e-52,3.59334426089621e-50
"1,4-alpha-glucan branching enzyme22",1615.82499076667,1.91562317166755,0.161106720743229,11.8903988786456,1.32770976365645e-32,4.85836954306392e-31
"1,4-alpha-glucan branching enzyme, partial23",6.0044422709588,-0.190151962732233,0.64686268932799,-0.293960319352747,0.768788224963912,0.790037711043027
"1,4-alpha-glucan branching protein24",215.596779377206,-2.16643098157136,0.352638080650051,-6.14349697451213,8.07242105169571e-10,3.34367038200265e-09
"1,4-alpha-glucan-branching enzyme25",46.3676049401098,3.80083154430356,0.407277328383607,9.3322934507261,1.03604372752755e-20,1.43917962350355e-19
"1,4-alpha-glucan-branching enzyme, partial26",513.676350057346,-2.09400696502255,0.276867082422564,-7.56322111931893,3.93208327527628e-14,2.66580292260929e-13
"1,4-alpha-glucan-branching protein27",181.045878037618,2.08172754944567,0.544309674270619,3.82452792564307,0.000131022895280504,0.000272980725033774
"1,4-beta-mannosyl-N-acetylglucosamine phosphorylase28",388.24596859033,-2.11192996447288,0.332069703579803,-6.3598995683909,2.01885705635029e-10,8.98023268347756e-10
"1,4-beta-N-acetylmuramidase29",4.99445010407736,3.54601152705668,1.00218456045574,3.53828193625748,0.000402739783495639,0.000782682975472658
"1,4-beta-xylanase30",64.5401471792781,-1.0299432182663,0.303707581820093,-3.39123314635063,0.000695788840758666,0.00130179545623644
"1,4-dihydroxy-2-naphthoate octaprenyltransferase31",20.1783193539353,-0.12180407788274,0.521386300755272,-0.233615800235443,0.815283260324379,0.832404268654857
"1,4-dihydroxy-2-naphthoate polyprenyltransferase32",5.43082471997306,-1.84016688642694,0.886020010490216,-2.07689088806111,0.0378116309435069,0.0526139025587375
"1,4-dihydroxy-2-naphthoyl-CoA synthase33",172.937013101764,-1.24595876727831,0.233718614242494,-5.33102068620674,9.76622921985799e-08,3.10469632606596e-07
"12-oxophytodienoate reductase34",22.593382057963,1.40966289154081,0.660377033299577,2.1346334297809,0.0327909645615962,0.0462057521512967
"12,18-didecarboxysiroheme deacetylase35",2.38624518741541,5.28937155837854,3.02104882985294,1.75083947869721,0.079973564153172,0.103013655354317
"16S rRNA (-2-O)-methyltransferase36",34.1749802533816,-2.83461429645254,0.395720935045625,-7.16316486042297,7.8835445507627e-13,4.58855952190688e-12
"16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase37",467.791413264675,3.04573654315374,0.234420962878541,12.9925946287142,1.34779025182929e-38,7.29222702400245e-37
