"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Abiotrophia",1.37741239505561,2.83530473688853,1.34741117761799,2.10426095907925,0.0353556896242342,0.0737647673412415
"Abiotrophia defectiva",2.09517108870913,0.873243170034106,0.966944934173808,0.903095035892851,0.366475458397894,0.486118670279338
"Abiotrophia sp.",3.31194263091514,-0.592434609752263,0.838171331669147,-0.706818030357206,0.479679568282244,0.598489807811589
"Acaricomes phytoseiuli",0.953239651009728,0.218290757579677,1.2879310250233,0.169489478348212,0.865411647697265,0.908173164407012
"Acaryochloris marina",13.9708727676364,3.54818655512235,0.635148651022791,5.58638761085085,2.31841467284186e-08,1.6473245432766e-07
"Acaryochloris sp.",1.08788117956181,1.01301372288164,1.21830581936578,0.831493789801471,0.405694735054755,0.526812558532468
"Acetivibrio cellulolyticus",266.459134414317,-0.931043276855806,0.18147294050424,-5.13047991766052,2.89004393217632e-07,1.71509464879819e-06
"Acetivibrio ethanolgignens",2993.3307739104,3.58558015281974,0.271914231397861,13.186437996963,1.05031937333563e-39,7.80737400846153e-38
"Acetoanaerobium",21.4303036997736,-0.572349967185094,0.32438701247928,-1.76440469305673,0.0776638686110411,0.141335565036666
"Acetoanaerobium noterae",93.7959713121058,0.0977576537444095,0.194759682953651,0.50193988951848,0.615709804860588,0.715551302582018
"Acetoanaerobium sticklandii",9.49367243210052,-1.01191338615667,0.545712673873849,-1.85429702222857,0.0636966779160335,0.120371953070082
"Acetobacter aceti",3.41597306332492,1.19898924442942,0.80310161319271,1.49294837008591,0.135450702222098,0.221723086246111
"Acetobacter malorum",3.67884482120895,3.84861536016822,1.17456221250798,3.2766381543558,0.00105050904490046,0.00338757032387811
"Acetobacter nitrogenifigens",0.0631364053176491,0.436826030818983,3.14975469100782,0.138685730690733,0.88969849438458,NA
"Acetobacter okinawensis",0.14540776627096,-0.0440653764725579,3.14975469100782,-0.0139900978950391,0.988837881000219,NA
"Acetobacter papayae",0.873738925021535,0.411569508275305,1.2212725591208,0.337000537023116,0.736116495273905,0.812407087427266
"Acetobacter sp.",2.70822872101432,-1.41300695575205,0.986262449037027,-1.43268858824716,0.151946852178015,0.242897118535465
"Acetobacterium",0.342270738035509,1.99829821907677,2.74270276067567,0.728587234361658,0.466254189576265,NA
"Acetobacterium bakii",108.919243259933,-0.0929636449389671,0.216685484179994,-0.429025715731585,0.66790451043415,0.758126537098122
"Acetobacterium dehalogenans",115.050367213451,0.108995664845895,0.270069867145782,0.403583213476607,0.686519231807868,0.773351176612011
"Acetobacterium wieringae",129.830027534354,0.0843514118831157,0.283592997072675,0.297438275111918,0.766131925843568,0.83340204616154
"Acetobacterium woodii",136.611779823304,0.797298035250254,0.309456873689498,2.57644312677393,0.00998226257496924,0.0249793519247612
"Acetohalobium arabaticum",11.799624389267,-0.535392286882752,0.453769040404589,-1.1798783945361,0.238048584064324,0.348448798385496
"Acetomicrobium",3.20652226180335,-1.98409874496375,0.853065736736554,-2.32584507795849,0.0200268168647415,0.0456249446686725
"Acetomicrobium flavidum",15.7588287012373,2.26293150945159,0.572195671903133,3.95482108755741,7.65919461054615e-05,0.000316521812914801
"Acetomicrobium hydrogeniformans",10.3398218859641,-0.556776573856494,0.443626652562418,-1.25505663521458,0.209458201114597,0.313889545118231
"Acetomicrobium mobile",3.01493890649688,2.84795545614324,0.873795840251471,3.25929161590381,0.00111690797934072,0.00358964729920837
"Acetonema longum",32.5405002026314,0.123347608837605,0.288930059098075,0.426911651984728,0.669443678324836,0.75948715079255
"Acholeplasma axanthum",97.1123200671937,-1.88778107168807,0.34994536785885,-5.39450224256007,6.87137689388548e-08,4.52216154719047e-07
"Acholeplasma brassicae",148.47201966898,-1.1191655204132,0.397873768700441,-2.81286580934623,0.00491021375261796,0.0133695722638329
"Acholeplasma equifetale",46.2498870096393,-0.7171047485145,0.402243396257139,-1.78276326022288,0.0746248487246344,0.13662243339659
"Acholeplasma granularum",90.2892731732039,-1.34288250392278,0.4631947913196,-2.89917444904125,0.00374146661161731,0.0105974711353968
"Acholeplasma hippikon",66.1940258494644,-0.766242135501304,0.554544562899057,-1.3817503348974,0.167048373336533,0.262349152952785
"Acholeplasma laidlawii",62.2207235619545,0.106750542501969,0.311478180090103,0.342722377763632,0.731807326192155,0.808964514253979
"Acholeplasma modicum",74.9328786293486,-0.0882364833673491,0.348728081905643,-0.253023739542787,0.800249868450051,0.859554714467341
"Acholeplasma oculi",46.8116383749196,-1.07134457498383,0.351588897614393,-3.04715132432548,0.00231021375333488,0.00692586315503393
"Acholeplasma palmae",94.6160704593886,-1.92573935222769,0.339201389730423,-5.67727435833369,1.36857875258025e-08,1.00443286170383e-07
"Achromobacter",8.60278543414442,-1.27843194983215,0.483397161917688,-2.64468236586346,0.00817676323636895,0.021005260631133
"Achromobacter insuavis",1.13826559503946,0.488321324039058,1.18309209144558,0.412750053499551,0.679789748565885,0.768008761142829
"Achromobacter piechaudii",3.33238619833841,-2.2831259257185,1.0119097689368,-2.2562544564792,0.0240546998683768,0.0534569374614215
"Achromobacter ruhlandii",1.79177308428332,0.669151818793556,1.09558792335922,0.610769619239547,0.541352108888647,0.653227789247945
"Achromobacter sp.",11.8617619500241,0.913014092748264,0.611795813676433,1.49235099740506,0.135607154073063,0.221853916285446
"Achromobacter xylosoxidans",15.0952195761175,-1.69052149428429,0.424900445570242,-3.97862961055621,6.93136226739391e-05,0.000288086296963082
"Acidaminococcus",47.5200962823931,-0.102760569858504,0.320450473064789,-0.320675357023823,0.748456424053252,0.821039625432337
"Acidaminococcus fermentans",74.0581688377221,1.1463014515928,0.245881600808852,4.66200581020266,3.13142347814903e-06,1.61818122337861e-05
"Acidaminococcus intestini",5.87337856318369,-0.674415458816069,0.776905177782969,-0.868079500693545,0.385350812326562,0.505718426860436
"Acidaminococcus massiliensis",47.4449951865951,0.669257971480174,0.241579536851824,2.77034214156422,0.00559974366146034,0.0149785367591252
"Acidaminococcus sp.",7.46380500865803,-0.560813820696275,0.531445862111305,-1.05526048969184,0.291306205861412,0.405325985501432
"Acidaminococcus timonensis",110.955774494245,-0.0560058731579006,0.18515194723282,-0.302486006736272,0.762281599161002,0.830681430862851
"Acidibacillus ferrooxidans",42.1641742487115,-1.33678425015966,0.299210974697276,-4.46769792288581,7.906584716457e-06,3.84906617850694e-05
"Acidiferrobacter thiooxydans",1.01347464436599,1.59031365763834,1.36738454576558,1.16303322467927,0.244816022548143,0.355038343855461
"Acidihalobacter prosperus",8.1558467048068,-1.7916654497791,0.648914356447296,-2.7610198972761,0.0057621165797853,0.0153886466741572
"Acidiphilium",2.25088726061249,-1.45695374481915,1.13635021797169,-1.28213443512135,0.19979549112594,0.302379080539859
"Acidiphilium multivorum",2.18747913288172,-0.554688757739814,0.866502470200692,-0.640146770281384,0.522077184907485,0.63721179964174
"Acidiphilium sp.",0.0631364053176491,0.436826030818983,3.14975469100782,0.138685730690733,0.88969849438458,NA
"Acidithiobacillus thiooxidans",0.509563407684626,2.57504849220328,2.09619219559723,1.22844102635809,0.219281454855813,NA
"Acidithrix ferrooxidans",2.35139438182251,-1.7225935529983,0.896408688771965,-1.92166092829618,0.0546484366281671,0.10657639945177
"Acidobacteria bacterium",1.79940988951742,1.57472423531392,0.940082871684369,1.67509086990644,0.0939164040417151,0.164559477374997
"Acidobacteriaceae bacterium",30.0173357753237,-0.983823984549661,0.327635458602833,-3.00280070034262,0.00267507553453335,0.00788114225062214
"Acidobacterium ailaaui",2.85559686462093,-0.756400915295269,0.839175963696863,-0.901361511789564,0.367396138247811,0.487117038545806
"Acidobacterium capsulatum",2.32748491642656,0.021525695972204,0.789411848782806,0.0272680173288436,0.978245965852728,0.985212803545965
"Acidocella aminolytica",1.60997313123036,-2.9132969919398,1.31387106225016,-2.21733857731095,0.026599963593637,0.0580891107027899
"Acidothermus cellulolyticus",0.655084488564247,2.08034679311818,1.54258512835688,1.34861068920982,0.177462045485824,0.275156332536068
"Acidovorax avenae",0.766793108307766,3.15387583270589,1.58344270989784,1.99178398624183,0.0463947640199009,0.0927895280398018
"Acidovorax caeni",0.145142620843302,-0.0440653764725577,3.14975469100782,-0.013990097895039,0.988837881000219,NA
"Acidovorax citrulli",0.404942700160377,-0.565269950286332,2.30562796706242,-0.245169627694332,0.806325092411695,NA
"Acidovorax delafieldii",2.40375947920166,-1.40885061932823,1.0420390530872,-1.3520132620311,0.176371072782816,0.2739938208112
"Acidovorax radicis",4.27131513907694,4.60936723086151,0.99211282133942,4.64601115086745,3.38414718477505e-06,1.73793493156118e-05
