"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"misc1",1383.24586872168,-0.0282095078834754,0.28797223273233,-0.0979591247941468,0.921964750893881,0.958389375087061
"(2E,6E)-farnesyl diphosphate synthase2",21.4175977600972,-0.224849357105619,0.852796031634567,-0.263661354843135,0.792040876406492,0.882257297088087
"(2Fe-2S)-binding protein3",23.3660625644594,-0.100446087048067,0.62840194323223,-0.159843692607657,0.873004204829371,0.930083245414498
"(4Fe-4S)-binding protein4",88.1526823569895,4.12882442684902,0.594706545599418,6.94262482463091,3.84880603815322e-12,4.11131434742214e-10
"(deoxy)nucleoside triphosphate pyrophosphohydrolase5",45.5249363842702,0.199064984154873,0.382039564114848,0.521058557419542,0.602325979584927,0.759010898654206
"(Fe-S)-binding protein6",43.174435761826,-0.363681678882391,0.349268993513593,-1.04126528731855,0.297752442512797,0.494132256874908
"(p)ppGpp synthetase7",56.9930664984038,0.103002497936594,0.442654942673565,0.232692528664596,0.816000171248732,0.897506832726099
"(R)-hydratase8",0.0393726834068709,1.52824403926169,6.006079865586,0.254449503413752,0.799148310879524,NA
"(S)-ureidoglycine aminohydrolase9",15.1544030745509,1.97155073594571,0.848735195392713,2.32292798348425,0.0201830215438929,0.0675542054781932
"1-(5-phosphoribosyl)-510",102.952977842485,-0.64147099357461,0.310823632896113,-2.0637780583081,0.0390387643644392,0.113249870608705
"1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase11",1.17659210401358,1.07279649562409,1.93135901437972,0.555461976585761,0.578578711028527,0.742257927574886
"1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate carboxylase12",29.6248243106735,1.95609704021348,0.627839206945074,3.115601922555,0.00183569897982703,0.00999676071890116
"1-acyl-sn-glycerol-3-phosphate acyltransferase13",449.421971127173,0.832390470167981,0.204166847496222,4.07701093677015,4.56183478474278e-05,0.00047353663737305
"1-acyl-sn-glycerol-3-phosphate acyltransferase, partial14",0.368942007351054,2.84468831417021,4.62860695566811,0.614588436956535,0.538826552605509,NA
"1-aminocyclopropane-1-carboxylate deaminase15",1.84600868061508,2.19076486343266,1.80967252455552,1.21058635399836,0.226053976760281,0.411420212836755
"1-deoxy-D-xylulose-5-phosphate reductoisomerase16",487.254774563929,-0.386185587920675,0.271496908712238,-1.42243088421311,0.154901202690206,0.317213703297098
"1-deoxy-D-xylulose-5-phosphate reductoisomerase, partial17",1.56097101858198,2.06935940550526,1.94332832673694,1.06485320932873,0.286942361953441,0.482211327106912
"1-deoxy-D-xylulose-5-phosphate synthase18",600.977004770664,0.0729581022572846,0.206861083672147,0.352691289062932,0.724319890561248,0.838739329953199
"1-phosphofructokinase19",203.037405989217,2.34218187252942,0.480130049598471,4.87822387806839,1.07045384458676e-06,2.00577693397982e-05
"1-pyrroline-5-carboxylate dehydrogenase20",40.9100392549167,2.39267621324715,1.02626697232169,2.33143643688958,0.0197303580936651,0.0664842317213875
"1,3-beta-galactosyl-N-acetylhexosamine phosphorylase21",409.031551884372,3.69753879349868,0.761133702287003,4.85793597417716,1.18615749652476e-06,2.16961398810845e-05
"1,4-alpha-glucan branching enzyme22",1255.94670925013,0.585555076001903,0.286390249524858,2.04460548839697,0.0408937679806367,0.117546069968261
"1,4-alpha-glucan branching enzyme, partial23",6.8548215145255,-0.998804636119989,0.770060265180332,-1.29704736276204,0.194614890960201,0.372780809382069
"1,4-alpha-glucan branching protein24",158.905687089913,-1.56245158775942,0.408762291429016,-3.8223965872614,0.000132160909489296,0.00113835082480856
"1,4-alpha-glucan-branching enzyme25",35.5448743701604,2.18650840724948,0.517843810248859,4.2223318382404,2.41787781049822e-05,0.000279902987441108
"1,4-alpha-glucan-branching enzyme, partial26",403.623678738442,-1.28955320878251,0.384101766502325,-3.35732173409492,0.000787014751975195,0.00492422640522078
"1,4-alpha-glucan-branching protein27",183.621631278311,1.38523269561394,0.686592219875553,2.01754790618662,0.0436383669556141,0.123672700250336
"1,4-beta-mannosyl-N-acetylglucosamine phosphorylase28",307.265728280082,-0.80545814015284,0.429302470744082,-1.87620196724419,0.0606275520619657,0.15898513337609
"1,4-beta-N-acetylmuramidase29",5.06659725350764,-0.394105720047458,1.35763213055875,-0.290289034250582,0.771595127247645,0.869714637476647
"1,4-beta-xylanase30",113.472730653546,-0.528872475878092,0.347151469535352,-1.52346316317187,0.127642869953383,0.275952359224594
"1,4-dihydroxy-2-naphthoate octaprenyltransferase31",19.6244862525687,0.174502842727019,0.651616177939072,0.267800046461302,0.788853234959435,0.880613370308175
"1,4-dihydroxy-2-naphthoate polyprenyltransferase32",6.14411010105897,1.42615994805296,1.06511629437418,1.3389711110287,0.180580077773909,0.353412122145055
"1,4-dihydroxy-2-naphthoyl-CoA synthase33",135.119147494761,-0.510079043237041,0.308409681843191,-1.65390087687451,0.0981476544683088,0.226828919835461
