"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Abiotrophia",0.141840412040087,0.714468354498695,3.11464756651031,0.229389791057225,0.818565970196907,NA
"Abiotrophia defectiva",1.25885009739308,0.116783023948181,1.0961031498941,0.106543826609261,0.915150884665867,0.958847579050065
"Abiotrophia sp.",2.75937677678817,0.779105403642799,0.862291744282356,0.903528775276877,0.366245323349711,0.563211259828766
"Acaricomes phytoseiuli",0.90639050685672,-0.255904706033763,1.42428824553448,-0.179671991843008,0.857410082852208,NA
"Acaryochloris marina",6.86958801071621,-2.45098533004905,0.68484526141187,-3.5788892296577,0.000345057671794351,0.00360005035689437
"Acaryochloris sp.",1.62925424109715,-1.91789243318012,1.52371288269199,-1.2586967367446,0.208139890552481,0.396930893039066
"Acetivibrio cellulolyticus",267.31768231863,0.336804827154236,0.171781213066651,1.96066159472023,0.0499185119768662,0.150267984423115
"Acetivibrio ethanolgignens",822.785343426798,-1.46344582082633,0.482813657835133,-3.03107792639547,0.00243682347970486,0.0167552621328672
"Acetoanaerobium",39.8167304650554,-1.38971298139653,0.44026213505012,-3.1565580384021,0.00159643113461893,0.012078650518186
"Acetoanaerobium noterae",65.7099209354881,0.633200082168237,0.242584961447517,2.61021985200525,0.00904840502337344,0.044971384886856
"Acetoanaerobium sticklandii",10.5728979425907,0.0583701829535985,0.54842479173922,0.106432429446687,0.91523926421893,0.958847579050065
"Acetobacter aceti",1.9351171570012,0.0168349039510366,1.13451573603941,0.0148388456997584,0.988160748601063,0.9946874611547
"Acetobacter malorum",7.96703823388339,-5.08921955840447,1.28553563234231,-3.95883196884372,7.53172004756056e-05,0.00104585322985128
"Acetobacter nitrogenifigens",1.00079214958165,-3.59955171305252,2.60121703421115,-1.38379522573906,0.166421165342739,NA
"Acetobacter okinawensis",0.0661980053850783,0.253685361541709,3.11653965008542,0.0813996900487871,0.935124095599593,NA
"Acetobacter papayae",0.63388757856161,0.140379967638961,1.44798088535835,0.0969487712568936,0.922767077331662,NA
"Acetobacter sp.",3.49721953973972,-0.0856389419200081,0.856753870139106,-0.0999574614189994,0.92037809711395,0.961555044820502
"Acetobacterium",0.484732775670875,-2.53646734253657,3.01519355836702,-0.841228695085922,0.400219827961802,NA
"Acetobacterium bakii",82.1980548765308,0.582366499982502,0.209235952893529,2.78330034551397,0.00538089687828068,0.0302069492547626
"Acetobacterium dehalogenans",79.676501847839,0.650769825352499,0.244576131896,2.66080676109974,0.00779536814512858,0.0401860498484653
"Acetobacterium wieringae",99.7914106273433,0.315232800530505,0.273627405918472,1.15205127012909,0.249300005747501,0.442511985612621
"Acetobacterium woodii",89.3764766221187,0.0198346403368254,0.366819891948778,0.0540718777039361,0.956877897799704,0.978441266971597
