"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"misc1",1174.66778462478,0.280503336152381,0.155929961951816,1.79890594880706,0.072033559431418,0.128609033983302
"(2E,6E)-farnesyl diphosphate synthase2",1.86843864025429,0.858772567432816,1.02096779331115,0.841135805712039,0.400271858151177,0.504135164660183
"(2Fe-2S)-binding protein3",17.0093446772347,0.467202486089225,0.499177333129609,0.935944913924845,0.34930155065397,0.454237870238765
"(4Fe-4S)-binding protein4",121.667026469883,0.862783671484613,0.204843540957101,4.21191543288786,2.53214347324891e-05,0.000111281042113834
"(deoxy)nucleoside triphosphate pyrophosphohydrolase5",34.8943880746771,-2.84839559386804,0.31843204936229,-8.9450656727939,3.71728652539285e-19,6.66163182458814e-18
"(Fe-S)-binding protein6",29.5543739711231,0.997733091188575,0.343351023773496,2.90586898569076,0.00366234758384673,0.0100935735969064
"(p)ppGpp synthetase7",30.712063049512,-1.50924233210693,0.310556834811116,-4.85979428861989,1.1750778792453e-06,6.45704454103178e-06
"(R)-hydratase8",0.0760550918803626,-0.960004305959124,3.11653965008542,-0.308035325632007,0.758055452405598,NA
"(S)-ureidoglycine aminohydrolase9",17.7800171722801,2.67143264050097,0.505578415798429,5.28391354738146,1.26452943677566e-07,8.03262001100661e-07
"1-(5-phosphoribosyl)-510",48.5048201697676,-0.576283063426171,0.241692993947769,-2.38435981951016,0.0171088648272683,0.0384824222925265
"1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase11",1.57792131139479,1.63928924484501,1.12168299475557,1.46145502116865,0.143890610572061,0.224881527956308
"1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate carboxylase12",25.6400117040223,0.889694617855194,0.272446484403745,3.26557569572722,0.00109241803649195,0.00343088935254748
"1-acyl-sn-glycerol-3-phosphate acyltransferase13",292.176274917172,-0.299668574849686,0.152788202221344,-1.96133320827714,0.0498401658598991,0.0949583715614446
"1-acyl-sn-glycerol-3-phosphate acyltransferase, partial14",0.638493076221183,-0.650645141019965,1.70752725977906,-0.381045243813064,0.703169676769741,NA
"1-aminocyclopropane-1-carboxylate deaminase15",2.61819226142233,-0.389764267298198,0.953825034105019,-0.408632876430965,0.68280910006061,0.758192554173684
"1-deoxy-D-xylulose-5-phosphate reductoisomerase16",327.964063749138,-0.355513452740612,0.146682486842749,-2.42369392824476,0.0153635479181361,0.0350354566912097
"1-deoxy-D-xylulose-5-phosphate reductoisomerase, partial17",1.45967939894011,1.95012488158835,1.21725419182671,1.60206873361581,0.109140411094866,0.179891997860984
"1-deoxy-D-xylulose-5-phosphate synthase18",453.088313716434,0.39004189102727,0.147372900294269,2.64663238796582,0.00812976763046436,0.0203872279446879
"1-phosphofructokinase19",139.311347726639,1.54156198028799,0.39145241253898,3.93805717095814,8.21440249926732e-05,0.000330959999996704
"1-pyrroline-5-carboxylate dehydrogenase20",40.7859635532967,0.366959655856042,0.456727759119864,0.803453804873149,0.421712486929939,0.524489259243787
"1,3-beta-galactosyl-N-acetylhexosamine phosphorylase21",263.156611089473,2.65116866376866,0.271457259968522,9.76643123884801,1.56881023404387e-22,3.69680988279909e-21
"1,4-alpha-glucan branching enzyme22",1163.9213868173,0.738158466515244,0.192109565970224,3.84238266734544,0.000121845667340094,0.000475136252033809
"1,4-alpha-glucan branching enzyme, partial23",7.61442801428296,-1.73423968383388,0.609391644609968,-2.84585405653839,0.00442924896393791,0.0119081278141522
"1,4-alpha-glucan branching protein24",25.5304830894238,-1.40575898442582,0.527196739431341,-2.66647890490016,0.00766504166762576,0.0193778576428371
"1,4-alpha-glucan-branching enzyme25",57.4975345645085,1.31766830140294,0.431948773466601,3.05051983555366,0.0022844559009855,0.00661069446184226
"1,4-alpha-glucan-branching enzyme, partial26",56.0188022264711,-9.51772079406742,0.88327150660094,-10.7755324641843,4.49175637633369e-27,1.4746013881622e-25
"1,4-alpha-glucan-branching protein27",273.529027513881,-0.0930398996283331,0.313510549389818,-0.296768002893094,0.766643635516578,0.826120984769327
"1,4-beta-mannosyl-N-acetylglucosamine phosphorylase28",55.1592733839586,-9.49079723273412,0.87464356966518,-10.851045570903,1.97156965558771e-27,6.64280618167753e-26
"1,4-beta-N-acetylmuramidase29",7.15475019950986,1.71797370503458,0.54839680277613,3.13272013319141,0.00173194498461242,0.00516357103691822
"1,4-beta-xylanase30",56.8737893523931,-2.68898973852076,0.333524743531793,-8.06233957350885,7.48479384839521e-16,1.04923697706883e-14
"1,4-dihydroxy-2-naphthoate octaprenyltransferase31",17.5624924512927,0.192957940051712,0.443107963288027,0.435464843872116,0.663225051922365,0.740896003228446
"1,4-dihydroxy-2-naphthoate polyprenyltransferase32",3.08172784145278,3.29439465656244,1.14305433836646,2.88209802980186,0.00395036811870859,0.0107832281025943
"1,4-dihydroxy-2-naphthoyl-CoA synthase33",50.0609646448053,-0.156510271651094,0.373383944615681,-0.419167117140476,0.675094002096845,0.751822575254852
"12-oxophytodienoate reductase34",41.369714287821,-1.32926930092744,0.396572411570879,-3.35189554831114,0.000802602939081981,0.00260005444673648
