"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Abiotrophia",1.2084820822963,0.424683010839317,1.37821493348683,0.308139899315186,0.757975882051813,0.866211994791523
"Abiotrophia defectiva",4.83045834202619,0.192682753766603,0.606320420870972,0.317790308777357,0.750644002408428,0.860216529368239
"Abiotrophia sp.",3.17446506229422,3.11062290653667,1.00104046395154,3.10738977948773,0.00188747354588305,0.012112950447906
"Acaricomes phytoseiuli",0.510656574316357,-0.407511373964023,1.64454749326517,-0.247795442596144,0.804292681267261,NA
"Acaryochloris marina",10.7488796057499,-0.0302944503810867,0.450127649087989,-0.0673019096748818,0.946341356637222,0.973390054534584
"Acaryochloris sp.",0.801511770699297,-0.888495978356538,1.1998249581828,-0.740521333797065,0.458983721180289,NA
"Acetivibrio cellulolyticus",184.634567302083,-0.00804484452179733,0.241441528300559,-0.0333200530100302,0.973419362647962,0.988162556326841
"Acetivibrio ethanolgignens",8594.38085815754,-2.38292236423399,0.23350988196208,-10.2048030867531,1.88703537581327e-24,3.43620896874141e-22
"Acetoanaerobium",32.2255668511896,-0.936829989102262,0.309428713644121,-3.02761168499613,0.00246494608974712,0.0147839951514928
"Acetoanaerobium noterae",97.7169991880437,-0.122107673294104,0.210626702687838,-0.579735008599907,0.56209333109915,0.726985836935381
"Acetoanaerobium sticklandii",6.48539732329237,1.41087889235106,0.560665585628508,2.51643569449596,0.0118548531325919,0.0499730522774826
"Acetobacter aceti",2.03156515721288,-0.195122308396438,0.85964432542376,-0.226980278500941,0.820439077443793,0.904439624435366
"Acetobacter malorum",4.93809870742148,0.0736495830081801,0.651804846354183,0.112993303778168,0.910035864025956,0.952491177612176
"Acetobacter nitrogenifigens",0.365416195434594,-1.25224557249111,1.90097458434495,-0.658738724233187,0.510063561589125,NA
"Acetobacter okinawensis",0.220087603432052,0.855113642079019,2.03908361047149,0.419361735677575,0.67495178443142,NA
"Acetobacter papayae",1.18430130420734,0.421415486863646,1.36302256803965,0.309177189538206,0.757186744537324,0.865863792750935
"Acetobacter sp.",1.34030836919892,1.72820398274891,1.03111406256441,1.67605509952102,0.0937274004989889,0.225063287718575
"Acetobacterium",0.494149591266184,1.21817556313715,1.56308232948109,0.779341906796142,0.435778334858914,NA
"Acetobacterium bakii",78.821244900988,0.751289068249084,0.32678100027275,2.29905982178283,0.0215015425950121,0.078582020102552
"Acetobacterium dehalogenans",73.6141913656155,1.03252190800633,0.26572939755461,3.88561415299992,0.000102071515789472,0.00107950190860581
"Acetobacterium wieringae",106.306601041144,-0.00747029885789389,0.206179896219229,-0.0362319459601958,0.971097413512719,0.987173030404504
"Acetobacterium woodii",124.877906659943,0.885112872363052,0.277772956310997,3.18646164881534,0.00144024581011553,0.00973845905906616
"Acetohalobium arabaticum",13.6612406256,0.417106215555845,0.455743403336735,0.915221619231332,0.360075297276211,0.554805673561794
"Acetomicrobium",0.683685417479363,2.41767376757223,1.29390959851175,1.86850284622127,0.0616920137754326,NA
"Acetomicrobium flavidum",7.86822375491145,1.82597780430668,0.589911600404182,3.09534140887482,0.001965864709457,0.0124157439011878
"Acetomicrobium hydrogeniformans",4.88480115378251,0.162927217730159,0.552934059108705,0.294659399337396,0.768254081402171,0.872953355138186
"Acetomicrobium mobile",2.81530058568116,1.18340999293208,0.80505360238102,1.46997664432783,0.141568079651662,0.299040077296704
"Acetonema longum",27.7334960703452,-0.0340883472457272,0.287659844961759,-0.118502279142432,0.905669689327468,0.950891105183843
"Acholeplasma axanthum",65.7258598319707,0.0260712431660324,0.320938767306246,0.0812343220012266,0.935255604692865,0.967182363040143
"Acholeplasma brassicae",58.746601797044,0.888156208672419,0.291259259478554,3.04936643134539,0.00229324582070655,0.0140530103892897
"Acholeplasma equifetale",32.8713522268164,0.281611948764269,0.413439293828332,0.681144615347567,0.495779988841973,0.675917302729844
"Acholeplasma granularum",55.9168312905872,-1.12943207737919,0.353417543575038,-3.19574423486249,0.00139470685664027,0.00955098105402953
"Acholeplasma hippikon",668.677829191183,-5.15488163471628,0.281524469639674,-18.3105988666423,6.81165046072215e-75,5.21772425291317e-72
"Acholeplasma laidlawii",48.784392161851,0.45601039418341,0.25843911190275,1.76447903270541,0.077651362398262,0.197519127435494
"Acholeplasma modicum",30.5664690799135,1.8502944662979,0.310659486216381,5.95602113694713,2.58452918310055e-09,8.10423712268139e-08
"Acholeplasma oculi",29.0269521192297,-0.108409534935042,0.393776634551658,-0.275307180321843,0.783080248447364,0.880983385247958
"Acholeplasma palmae",45.2510403216245,1.02010367087607,0.414247816144713,2.46254447487468,0.0137955062068125,0.0558299049680546
"Achromobacter",3.25697995868899,0.238895706812602,0.759474014379194,0.31455415496721,0.753100192346209,0.862478263853134
"Achromobacter insuavis",0.459409981293509,-1.0226245284904,1.81415993421532,-0.563690394216934,0.572964855835054,NA
"Achromobacter piechaudii",1.05754789955311,0.633833005023594,1.04465531686986,0.606738887734541,0.544024210344819,0.714260881552268
"Achromobacter ruhlandii",2.92054113816321,-0.397937311031383,0.72324818581662,-0.550208516018706,0.582176363203797,0.743953684341935
"Achromobacter sp.",8.55696832762282,0.322603064248289,0.456107307837091,0.707296416227371,0.479382292178058,0.663683927358314
"Achromobacter xylosoxidans",5.01875718219421,0.272875928128301,0.5651479810539,0.48283978228045,0.629209501398328,0.776109331477391
"Acidaminococcus",44.8191951300658,1.02021813516219,0.306813652963923,3.32520448587127,0.0008835370783078,0.00648587737474922
"Acidaminococcus fermentans",65.5387069510649,0.896735506852779,0.250573181801293,3.57873695982318,0.000345258744493159,0.00297155278968269
"Acidaminococcus intestini",7.06280613391928,0.947966294305229,0.496185480778549,1.91050792703125,0.0560678467230351,0.157154100433306
"Acidaminococcus massiliensis",70.6467579773829,1.83244039080574,0.283195462444118,6.47058528053689,9.76240360884764e-11,3.99212263570437e-09
"Acidaminococcus sp.",5.25646422639919,0.595915043006543,0.654161489284018,0.910960141751502,0.362316375208591,0.556818688411713
"Acidaminococcus timonensis",80.6970032152493,1.36685420319637,0.293121185023501,4.66310274737319,3.11477138456096e-06,5.06103156485329e-05
"Acidibacillus ferrooxidans",18.8098975939204,0.419422758666939,0.410554452354727,1.02160080413536,0.306969876934785,0.50320161422327
"Acidiferrobacter thiooxydans",1.33028964687006,1.08510781094634,1.08851495023682,0.996869919618706,0.318827654179119,0.514925867984469
"Acidihalobacter prosperus",3.72848195727284,-0.122255712092141,0.600022978259952,-0.203751717053702,0.838547525453416,0.914126538247456
"Acidiphilium",2.30624952691542,-1.45375170857588,1.04661043700001,-1.38900937462739,0.16482989939411,0.330770179847013
"Acidiphilium multivorum",4.66365753943603,-2.01406241351887,0.685701226315242,-2.93723029247279,0.00331158085382679,0.0186324202919404
"Acidiphilium sp.",0.508062458775717,-1.0910457404315,1.59443509173178,-0.684283572338132,0.493796118336469,NA
"Acidithiobacillus thiooxidans",0.393376283013741,1.64480100133038,1.56439456381503,1.05139779910719,0.293075926239313,NA
"Acidithrix ferrooxidans",2.46527755545947,0.649964246865464,0.910537378196285,0.713824893331673,0.475335464653555,0.659754045454811
"Acidobacteria bacterium",2.07818206002703,-0.928096106373705,0.999202781412653,-0.928836592169591,0.352973777653958,0.547798956810571
"Acidobacteriaceae bacterium",23.0982430171333,-0.178747117605482,0.330612362088987,-0.540654670249054,0.588745628085252,0.747892456240967
"Acidobacterium ailaaui",3.13082766542352,-0.659894481628073,0.706565908320071,-0.933946110132933,0.350331691945164,0.546228128005224
"Acidobacterium capsulatum",1.89961751596769,0.131793145430169,0.843376145748506,0.156268523949301,0.875821365754256,0.93604826852189
"Acidocella aminolytica",2.23146226951644,0.560007244334074,0.889730608766634,0.629412137579902,0.529079273807461,0.703078826804363
"Acidothermus cellulolyticus",1.26176550149883,-0.165362216729295,0.99853297306526,-0.165605163965364,0.868467683155741,0.931531049626142
"Acidovorax avenae",3.34738520747748,-4.81044174308137,1.04241692243676,-4.61470035601155,3.93662854565648e-06,6.17198896544153e-05
"Acidovorax caeni",1.52981703631161,0.219394685274889,1.25276870572003,0.175127846244205,0.860979178241417,0.927953839945825
"Acidovorax citrulli",1.43582523201109,-1.30837707224922,1.11719194790633,-1.17113005934314,0.241546502957583,0.4282977344109
"Acidovorax delafieldii",2.10486035595488,-1.0091188473017,0.911466985163092,-1.10713702605601,0.268234689372421,0.459659445322761
"Acidovorax radicis",25.0938382707563,-2.38855226950895,0.516406867358334,-4.62533018146627,3.74002126959382e-06,5.89522147481627e-05
"Acidovorax sp.",10.6929803118863,-0.575995554698997,0.45887242511646,-1.25524115891865,0.209391228271932,0.389481472290836
"Acidovorax temperans",0.455228673197298,-1.17716469635811,1.79784557769076,-0.654764074826779,0.512619664037421,NA
"Acinetobacter",16.9715973964465,0.444188387572886,0.403094667923119,1.10194557983487,0.270485331269564,0.462629137565359
"Acinetobacter baumannii",46552.2424216451,-9.9783978218854,0.457570818958326,-21.8073299442511,1.97681263905413e-105,1.05996693706083e-101
"Acinetobacter bereziniae",0.540708958118522,0.520914403193373,1.62756804788582,0.320056911826225,0.748925188307356,NA
"Acinetobacter bohemicus",0.1739186316237,0.422374377093687,2.53831458300398,0.166399539254045,0.867842536521648,NA
"Acinetobacter brisouii",0.197264683114526,0.620203259475965,2.430905306248,0.25513262811262,0.798620664246672,NA
"Acinetobacter celticus",1.63255454899138,-0.932863025030767,0.983293305519406,-0.948712881288253,0.342766660778703,0.538346466050206
"Acinetobacter guillouiae",3.60151305215865,-2.43263596754667,0.741313729465821,-3.28152018619645,0.00103249133778769,0.00743116584324506
"Acinetobacter haemolyticus",1.10019393333126,2.4147524279195,1.25723387871207,1.92068673045401,0.0547712135074856,0.15457012990902
"Acinetobacter indicus",0.594393801606039,-0.364654115304188,1.467941213479,-0.248411933635928,0.803815701200643,NA
"Acinetobacter lwoffii",4.90198283633126,-1.5004055574314,0.63602770040264,-2.35902548974135,0.018322997149261,0.0693841177361142
"Acinetobacter pittii",5.43211247641421,1.37858527389301,0.78464256244141,1.75695958883947,0.0789246975100475,0.199525802946193
"Acinetobacter radioresistens",0.223794161254995,-1.57552868435049,3.11653965008542,-0.505537827605469,0.613181136678758,NA
"Acinetobacter sp.",34.9033296022099,-0.444188129243001,0.264641805838023,-1.67845034096718,0.0932592171201156,0.2246432714277
"Acinetobacter tandoii",0.140565044340443,-1.57552868435049,3.11653965008542,-0.505537827605469,0.613181136678758,NA
"Acinetobacter tjernbergiae",0.650984148880577,0.735105065639615,1.50346327261084,0.48894115275797,0.624883359606634,NA
"Acinetobacter venetianus",4.1597879981132,1.62229394165439,0.641893714607609,2.52735601663603,0.0114924936822878,0.048829438291939
"Actibacterium atlanticum",12.6103579246608,-0.29331339732574,0.505977416465235,-0.579696618427818,0.562119224157794,0.726985836935381
"Actibacterium mucosum",0.810338948006442,1.93398749695385,1.25218724116232,1.54448746431776,0.122470285792061,NA
"Actinobacillus capsulatus",0.363119301063026,-2.07508448347436,1.86568128624751,-1.11223953349933,0.266035174257613,NA
"Actinobacillus pleuropneumoniae",3.47703517416299,0.849971024375038,0.638836137554077,1.33049928519907,0.183353821711586,0.356265941606357
"Actinobacillus succinogenes",4.74427200353535,2.61466860518021,0.768411728973148,3.40269221121114,0.000667254024182589,0.00511847793657659
"Actinobacteria",2.45505488928239,-0.243944053688445,0.942393441315115,-0.258855848304738,0.795746465250098,0.890923213783117
"Actinobacteria bacterium",5.73854867365569,-0.678161091887277,0.483894675166845,-1.40146425800914,0.161075288468308,0.326165293341037
"Actinobaculum sp.",3.62552974243795,-0.759515803815342,0.815672925453999,-0.931152402039825,0.351774735303199,0.547288257412759
"Actinobaculum suis",3.35636340437951,-0.274057020050976,0.654675923215171,-0.418614783792656,0.67549768334534,0.806696422786709
"Actinocatenispora sera",0.790986392340149,1.94666080624598,1.34139992688128,1.45121582850531,0.146719770674735,NA
"Actinokineospora bangkokensis",0.35572648857207,0.555398293363995,2.12356989798154,0.261539916294681,0.79367617161714,NA
"Actinokineospora inagensis",0.385847395940639,-1.18638902998969,1.85998726217937,-0.637847932678626,0.523572674013496,NA
"Actinomadura chibensis",1.70385777333866,-4.7195181786072,1.23740584193252,-3.81404226380285,0.000136712072504985,0.00139363143112496
"Actinomadura hibisca",1.94705458209094,-0.924560253424956,0.88111820275825,-1.04930331768282,0.294038539555223,0.488273350602387
"Actinomadura kijaniata",1.87351157409155,-0.216110319854714,0.980256816926553,-0.220462960443667,0.825510616003518,0.907232613857525
"Actinomadura macra",7.47829970963147,0.721987703600671,0.573427821050851,1.25907337784479,0.208003829241226,0.388071166454925
"Actinomadura madurae",0.673313329560552,0.94185352336878,1.50091980391736,0.6275175535099,0.530320033506015,NA
"Actinomadura oligospora",1.03095050030897,-0.43477573964787,1.23426911494382,-0.352253600437582,0.724648082292713,0.841162065946613
"Actinomadura rubrobrunea",0.894386800379953,-0.774498597034511,1.32053899456688,-0.58650187553798,0.557538301526091,0.723679586730308
"Actinomadura sp.",1.55984830177809,-2.14408404077151,0.949093077005219,-2.25908721991418,0.0238779599607575,0.0851287375728601
"Actinomyces",5.03355835414185,-0.596445760207583,0.520417658957709,-1.14609054850703,0.251757687910405,0.440575953843209
"Actinomyces cardiffensis",0.897277034047422,-0.478845658024298,1.11203483274682,-0.430603110553209,0.666756979079283,0.802142903707228
